state,food_name,subcategory,food_type,serving_size_g,calories_per_100g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,calorie_status,data_note
Kerala,Banana Chips,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Payasam,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Unniyappam,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Malabar Parotta,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Kerala Beef Fry,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Kerala Chicken Curry,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Karimeen Pollichathu,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Kerala Fish Curry,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Prawn Roast,Seafood,Non-Veg,180,122.2,220,30,1,11,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Appam with Egg Curry,Breakfast,Non-Veg,180,122.2,220,15,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Malabar Chicken Biryani,Rice Dish,Non-Veg,250,120.0,300,16,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Poha,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Dal Bafla,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Bhutte Ka Kees,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Sabudana Khichdi,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Indori Samosa,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Indori Kachori,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Indori Poha,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Garadu,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Mawa Bati,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Malpua,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Jalebi,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Bhopali Gosht,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Bhopali Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Madhya Pradesh,Mutton Korma,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Vada Pav,Street Food,Veg,180,194.4,350,8,45,15,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Misal Pav,Street Food,Veg,180,194.4,350,8,45,15,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Pav Bhaji,Street Food,Veg,180,194.4,350,8,45,15,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Poha,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Sabudana Vada,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Sabudana Khichdi,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Thalipeeth,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Puran Poli,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Modak,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Bharli Vangi,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Batata Vada,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Kothimbir Vadi,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Pithla Bhakri,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Sol Kadhi,Drink,Veg,250,48.0,120,4,18,4,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Kolhapuri Misal,Street Food,Veg,180,194.4,350,8,45,15,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Kolhapuri Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Kolhapuri Mutton,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Bombay Duck Fry,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Malvani Fish Curry,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Malvani Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Maharashtra,Prawn Masala,Seafood,Non-Veg,180,122.2,220,30,1,11,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Manipur,Eromba,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Manipur,Singju,Salad,Veg,200,50.0,100,4,12,3,4,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Manipur,Kangshoi,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Manipur,Chamthong,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Manipur,Paknam,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Manipur,Chak Hao,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Manipur,Manipuri Black Rice Pudding,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Manipur,Nga Thongba,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Manipur,Ooti with Fish,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Manipur,Chicken Curry,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Meghalaya,Jadoh,Rice Dish,Non-Veg,250,120.0,300,16,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Meghalaya,Dohneiihong,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Meghalaya,Dohkhlieh,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Meghalaya,Nakham Bitchi,Soup,Non-Veg,250,44.0,110,14,12,4,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Meghalaya,Pukhlein,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Meghalaya,Tungrymbai,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Meghalaya,Dohjem,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Meghalaya,Pumaloi,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Meghalaya,Putharo,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Mizoram,Bai,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Mizoram,Sawhchiar,Rice Dish,Non-Veg,250,120.0,300,16,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Mizoram,Vawksa Rep,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Mizoram,Misa Mach Poora,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Mizoram,Bamboo Shoot Curry,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Mizoram,Chhum Han,Vegetable,Veg,150,80.0,120,4,14,5,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Mizoram,Mizo Rice,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Mizoram,Mizo Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Nagaland,Axone Pork,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Nagaland,Smoked Pork with Bamboo Shoot,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Nagaland,Naga Pork Curry,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Nagaland,Naga Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Nagaland,Fish with Bamboo Shoot,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Nagaland,Galho,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Nagaland,Bamboo Shoot Fry,Vegetable,Veg,150,80.0,120,4,14,5,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Nagaland,Naga Chutney,Chutney,Veg,50,200.0,100,2,8,6,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Nagaland,Sticky Rice,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Dalma,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Pakhala Bhata,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Dahi Pakhala,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Santula,Vegetable,Veg,150,80.0,120,4,14,5,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Besara,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Chhena Poda,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Rasabali,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Chhena Gaja,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Khaja,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Dahibara Aloodum,Street Food,Veg,180,194.4,350,8,45,15,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Macha Ghanta,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Macha Besara,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Chingudi Malai,Seafood,Non-Veg,180,122.2,220,30,1,11,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Odisha,Macha Tarkari,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Sarson Saag,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Makki Di Roti,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Chole Bhature,Street Food,Veg,180,194.4,350,8,45,15,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Amritsari Kulcha,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Rajma Chawal,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Dal Makhani,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Paneer Tikka,Starter,Veg,100,250.0,250,8,30,10,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Paneer Butter Masala,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Aloo Paratha,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Lassi,Drink,Veg,250,48.0,120,4,18,4,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Gajar Halwa,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Pinni,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Butter Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Tandoori Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Amritsari Fish,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Chicken Tikka,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Mutton Tikka,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Punjab,Mutton Curry,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Dal Baati Churma,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Dal Baati,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Gatte Ki Sabzi,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Ker Sangri,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Bajre Ki Roti,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Pyaz Ki Kachori,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Mirchi Vada,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Makhaniya Lassi,Drink,Veg,250,48.0,120,4,18,4,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Ghevar,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Mohanthal,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Churma,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Pyaaz Kachori,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Rajasthani Kadhi,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Bajra Khichdi,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Laal Maas,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Safed Maas,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Junglee Maas,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Rajasthan,Rajasthani Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Momos,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Thukpa,Noodles,Veg,250,120.0,300,9,45,9,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Gundruk Soup,Soup,Veg,250,44.0,110,6,12,4,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Kinema Curry,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Sel Roti,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Chhurpi,Dairy,Veg,100,180.0,180,10,8,12,0,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Phagshapa,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Sikkimese Pork Curry,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Pork Momos,Snack,Non-Veg,100,280.0,280,14,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Chicken Thukpa,Noodles,Non-Veg,250,120.0,300,17,45,9,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Sikkim,Sha Phal,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Idli,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Dosa,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Masala Dosa,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Pongal,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Upma,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Uttapam,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Vada,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Sambar,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Rasam,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Curd Rice,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Lemon Rice,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Tamarind Rice,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Kootu,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Poriyal,Vegetable,Veg,150,80.0,120,4,14,5,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Avial,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Payasam,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Murukku,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Paniyaram,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Parotta,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Chettinad Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Chicken 65,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Chettinad Mutton,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Meen Kuzhambu,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Fish Fry,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Nethili Fry,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Prawn Masala,Seafood,Non-Veg,180,122.2,220,30,1,11,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Tamil Nadu,Egg Kothu Parotta,Egg,Non-Veg,100,220.0,220,23,0,15,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Telangana,Hyderabadi Biryani,Rice Dish,Non-Veg,250,120.0,300,16,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Telangana,Haleem,Main Dish,Non-Veg,200,140.0,280,17,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
